Area,Month,ID,Name,Type,Period_1_20,Period_21_30
"BANDUNG","JUL","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3213201003","HALAMAN STO CIJAURA","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3213201102","HALAMAN STO HEGARMANAH","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3213201203","HALAMAN STO KOPO","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3213201603","HALAMAN STO TEGALEGA","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3223201303","HALAMAN STO CILILIN","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3223202304","HALAMAN STO SOREANG","HALAMAN","APPROVED","APPROVED"
"BANDUNG","JUL","3213200103","GUDANG PLASA SUPRATMAN","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213200201","GUDANG ARNET AHMAD YANI","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213200401F","GMP BANDUNG","SARANA OLAHRAGA","APPROVED","APPROVED"
"BANDUNG","JUL","3213200403","GUDANG GMP BANDUNG","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213200405","GMP BANDUNG","UTILITY","APPROVED","APPROVED"
"BANDUNG","JUL","3213200702","GUDANG PLASA SUMEDANG","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213200902","RUMDIN WASTUKENCANA","UTILITY","APPROVED","APPROVED"
"BANDUNG","JUL","3213201402","GUDANG STO SUMEDANG","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213201502","GUDANG TANJUNGSARI","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213202202","TELKOM CISANGGARUNG","UTILITY","APPROVED","APPROVED"
"BANDUNG","JUL","3213202302","GUDANG DHARMA WANITA","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213202502","GUDANG WITEL BANDUNG","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213202504","WITEL BANDUNG","UTILITY","APPROVED","APPROVED"
"BANDUNG","JUL","3213203703","GUDANG GT SEKAR","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213204704","GT BENGAWAN 81","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213205228","GUDANG GEDUNG POOL KBM","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3213205229","GUDANG GEDUNG AULA","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200202","EKS CATEL PANGALENGAN","UTILITY","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200303","EKS CATEL PADALARANG","UTILITY","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200602","GUDANG PLASA BAROS","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223200603","PLASA BAROS","UTILITY","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223201403","GUDANG STO CIMAHI","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223201702","GUDANG CIWIDEY","GUDANG","APPROVED","APPROVED"
"BANDUNG","JUL","3223201902","GUDANG LEMBANG","GUDANG","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223201903","STO LEMBANG","UTILITY","APPROVED","NOT FOUND"
"BANDUNG","JUL","3223202003","GUDANG MAJALAYA","GUDANG","APPROVED","NOT FOUND"
