Area,Month,ID,Name,Type,Period_1_20,Period_21_30
"CORPU","AGU","3213205230","GUDANG RUMAH DINAS 5 ADMINISTRASI","GUDANG","APPROVED","NOT APPROVED"
"CORPU","AGU","3213205237","GUDANG GD. UTAMA","GUDANG","APPROVED","NOT APPROVED"
"CORPU","AGU","3213205233","IDEC BANDUNG GD. UTAMA","OFFICE","APPROVED","NOT APPROVED"
"CORPU","AGU","3213205234","IDEC BANDUNG GD. MENARA","OFFICE","APPROVED","NOT APPROVED"
"CORPU","SEP","3213205237","GUDANG GD. UTAMA","GUDANG","APPROVED","NOT APPROVED"
"CORPU","SEP","3213205233","IDEC BANDUNG GD. UTAMA","OFFICE","APPROVED","NOT APPROVED"
"CORPU","SEP","3213205234","IDEC BANDUNG GD. MENARA","OFFICE","APPROVED","NOT APPROVED"
"CORPU","JUL","3213205210","GEDUNG POOL KBM","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205212","GEDUNG HYDRO WATER TANK","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205219","GEDUNG LAPANGAN TEMBAK","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205226","GUDANG GEDUNG K KELAS EXT 1","GUDANG","APPROVED","APPROVED"
"CORPU","JUL","3213205227","GUDANG GEDUNG K KELAS EXT 2","GUDANG","APPROVED","APPROVED"
"CORPU","JUL","3213205230","GUDANG RUMAH DINAS 5 ADMINISTRASI","GUDANG","APPROVED","APPROVED"
"CORPU","JUL","3213205237","GUDANG GD. UTAMA","GUDANG","APPROVED","APPROVED"
"CORPU","JUL","3213205209","GEDUNG R3 EXTENTION","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205213","GEDUNG OLAHRAGA","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205218","GEDUNG IBADAH MESJID DARUL IHSAN","IBADAH","APPROVED","APPROVED"
"CORPU","JUL","3213205220","GEDUNG E LABORATORIUM & CATUDAYA","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205225","GEDUNG KOSONG LEARNING CENTER BANDUNG","IDLE","APPROVED","APPROVED"
"CORPU","JUL","3213205236","GEDUNG KOSONG GD. UTAMA","IDLE","APPROVED","APPROVED"
"CORPU","JUL","3213205203","GEDUNG HARMONIZE","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205205","GEDUNG K LABORATORIUM","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205206","GEDUNG M1 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205207","GEDUNG M2 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205208","GEDUNG N ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205211","GEDUNG TOW & TOA","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205216","RUMAH DINAS 3 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205222","GEDUNG G KELAS","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205224","GEDUNG INNOVATION CENTER","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205235","IDEC BANDUNG GD. OASIS","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205202","GEDUNG D","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205204","GEDUNG J LABORATORIUM","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205215","RUMAH DINAS 1 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205217","GEDUNG MSC","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205221","GEDUNG F KELAS","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205223","GEDUNG H ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205233","IDEC BANDUNG GD. UTAMA","OFFICE","APPROVED","APPROVED"
"CORPU","JUL","3213205234","IDEC BANDUNG GD. MENARA","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205210","GEDUNG POOL KBM","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205212","GEDUNG HYDRO WATER TANK","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205219","GEDUNG LAPANGAN TEMBAK","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205226","GUDANG GEDUNG K KELAS EXT 1","GUDANG","APPROVED","APPROVED"
"CORPU","AGU","3213205227","GUDANG GEDUNG K KELAS EXT 2","GUDANG","APPROVED","APPROVED"
"CORPU","AGU","3213205209","GEDUNG R3 EXTENTION","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205213","GEDUNG OLAHRAGA","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205218","GEDUNG IBADAH MESJID DARUL IHSAN","IBADAH","APPROVED","APPROVED"
"CORPU","AGU","3213205220","GEDUNG E LABORATORIUM & CATUDAYA","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205225","GEDUNG KOSONG LEARNING CENTER BANDUNG","IDLE","APPROVED","APPROVED"
"CORPU","AGU","3213205236","GEDUNG KOSONG GD. UTAMA","IDLE","APPROVED","APPROVED"
"CORPU","AGU","3213205203","GEDUNG HARMONIZE","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205205","GEDUNG K LABORATORIUM","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205206","GEDUNG M1 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205207","GEDUNG M2 ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205208","GEDUNG N ADMINISTRASI","OFFICE","APPROVED","APPROVED"
"CORPU","AGU","3213205211","GEDUNG TOW & TOA","OFFICE","APPROVED","APPROVED"
