Area,Month,ID,Name,Type,Period_1_20,Period_21_30
"PRIANGAN_TIMUR","JUL","3233200203","HALAMAN EKS CATEL HAURGEULIS","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233200404","HALAMAN PLASA INDRAMAYU","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233200703","HALAMAN STO BALONGAN","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233200803","HALAMAN STO CIKIJING","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233201203","HALAMAN STO JATIWANGI","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233201304","HALAMAN STO KADIPATEN","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233201403","HALAMAN STO KANCI","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233201603","HALAMAN STO KARYA MULYA","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233201903","HALAMAN STO LOSARANG","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233202303","HALAMAN STO PATROL","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233202504","HALAMAN STO RAJAGALUH","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233202602","HALAMAN STO SINDANG LAUT","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263200305","HALAMAN DATEL SINGAPARNA","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263200405","HALAMAN EKS CATEL KAWALI","HALAMAN","OPEN","NONE"
"PRIANGAN_TIMUR","JUL","3263200505","HALAMAN EKS CATEL KEDUNGORA","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201004","HALAMAN STO BANJAR","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263201104","HALAMAN STO BANJARSARI","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201203","HALAMAN STO CIAMIS","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201504","HALAMAN STO CIBATU","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201604","HALAMAN STO CIKAJANG","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201703","HALAMAN STO CISOMPET","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263202004","HALAMAN STO LIMBANGAN","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263202104","HALAMAN STO MALANGBONG","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263202203","HALAMAN STO MANONJAYA","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263202304","HALAMAN STO PAMENGPEUK","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3263202404","HALAMAN STO PANGANDARAN","HALAMAN","SUBMITTED","NONE"
"PRIANGAN_TIMUR","JUL","3233200102","GUDANG WITEL CIREBON","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200104","WITEL CIREBON","UTILITY","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200202","EKS CATEL HAURGEULIS","UTILITY","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200301","GUDANG YOS SODARSO","OFFICE","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200302","GUDANG YOS SUDARSO","GUDANG","APPROVED","NOT APPROVED"
