Status,Month,ID,Name,Type
"OPEN","AGU","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN"
"OPEN","AGU","3213201003","HALAMAN STO CIJAURA","HALAMAN"
"OPEN","AGU","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"OPEN","AGU","3213201203","HALAMAN STO KOPO","HALAMAN"
"OPEN","AGU","3213201603","HALAMAN STO TEGALEGA","HALAMAN"
"OPEN","AGU","3223201303","HALAMAN STO CILILIN","HALAMAN"
"OPEN","AGU","3223202304","HALAMAN STO SOREANG","HALAMAN"
"OPEN","AGU","3213200103","GUDANG PLASA SUPRATMAN","GUDANG"
"OPEN","AGU","3213200201","GUDANG ARNET AHMAD YANI","GUDANG"
"OPEN","AGU","3213200401F","GMP BANDUNG","SARANA OLAHRAGA"
"OPEN","AGU","3213200403","GUDANG GMP BANDUNG","GUDANG"
"OPEN","AGU","3213200405","GMP BANDUNG","UTILITY"
"OPEN","AGU","3213200702","GUDANG PLASA SUMEDANG","GUDANG"
"OPEN","AGU","3213200902","RUMDIN WASTUKENCANA","UTILITY"
"OPEN","AGU","3213201402","GUDANG STO SUMEDANG","GUDANG"
"OPEN","AGU","3213201502","GUDANG TANJUNGSARI","GUDANG"
"OPEN","AGU","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG"
"OPEN","AGU","3213202202","TELKOM CISANGGARUNG","UTILITY"
"OPEN","AGU","3213202302","GUDANG DHARMA WANITA","GUDANG"
"OPEN","AGU","3213202502","GUDANG WITEL BANDUNG","GUDANG"
"OPEN","AGU","3213202504","WITEL BANDUNG","UTILITY"
"OPEN","AGU","3213203703","GUDANG GT SEKAR","GUDANG"
"OPEN","AGU","3213204704","GT BENGAWAN 81","GUDANG"
"OPEN","AGU","3213205228","GUDANG GEDUNG POOL KBM","GUDANG"
"OPEN","AGU","3213205229","GUDANG GEDUNG AULA","GUDANG"
"OPEN","AGU","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG"
"OPEN","AGU","3223200202","EKS CATEL PANGALENGAN","UTILITY"
"OPEN","AGU","3223200303","EKS CATEL PADALARANG","UTILITY"
"OPEN","AGU","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"OPEN","AGU","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"OPEN","AGU","3223200602","GUDANG PLASA BAROS","GUDANG"
"OPEN","AGU","3223200603","PLASA BAROS","UTILITY"
"OPEN","AGU","3223201403","GUDANG STO CIMAHI","GUDANG"
"OPEN","AGU","3223201702","GUDANG CIWIDEY","GUDANG"
"OPEN","AGU","3223201902","GUDANG LEMBANG","GUDANG"
"OPEN","AGU","3223201903","STO LEMBANG","UTILITY"
"OPEN","AGU","3223202003","GUDANG MAJALAYA","GUDANG"
"OPEN","AGU","3223202302","GUDANG SOREANG","GUDANG"
"OPEN","AGU","3223202602","STO BOJONGWARU","UTILITY"
"OPEN","AGU","3223202603","GUDANG BOJONGWARU","GUDANG"
"OPEN","AGU","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG"
"OPEN","AGU","3223202804","MESS PALAPA SOREANG","UTILITY"
"OPEN","AGU","3213200102","PLASA SUPRATMAN","OFFICE"
"OPEN","AGU","3213200104","GEDUNG KOSONG PLASA SUPRATMAN","IDLE"
"OPEN","AGU","3213200202","ARNET AHMAD YANI","OFFICE"
"OPEN","AGU","3213200401D","GMP BANDUNG","OFFICE"
"OPEN","AGU","3213200401E","GMP BANDUNG","RUANG IBADAH"
"OPEN","AGU","3213200404","GEDUNG KOSONG GMP BANDUNG","IDLE"
"OPEN","AGU","3213200701","PLASA SUMEDANG","OFFICE"
"OPEN","AGU","3213200703","GEDUNG KOSONG PLASA SUMEDANG","IDLE"
"OPEN","AGU","3213201001","PLASA / STO CIJAURA","OFFICE"
"OPEN","AGU","3213201002","GEDUNG KOSONG CIJAURA","IDLE"
"OPEN","AGU","3213201101","STO HEGARMANAH","OFFICE"
"OPEN","AGU","3213201201","PLASA / STO KOPO","OFFICE"
"OPEN","AGU","3213201202","GEDUNG KOSONG KOPO","IDLE"
"OPEN","AGU","3213201301","STO SADANG SERANG","OFFICE"
"OPEN","AGU","3213201401","STO SUMEDANG","OFFICE"
