Status,Month,ID,Name,Type
"OPEN","JUL","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN"
"OPEN","JUL","3213201003","HALAMAN STO CIJAURA","HALAMAN"
"OPEN","JUL","3213201203","HALAMAN STO KOPO","HALAMAN"
"OPEN","JUL","3213201603","HALAMAN STO TEGALEGA","HALAMAN"
"OPEN","JUL","3213200103","GUDANG PLASA SUPRATMAN","GUDANG"
"OPEN","JUL","3213200201","GUDANG ARNET AHMAD YANI","GUDANG"
"OPEN","JUL","3213200702","GUDANG PLASA SUMEDANG","GUDANG"
"OPEN","JUL","3213200902","RUMDIN WASTUKENCANA","UTILITY"
"OPEN","JUL","3213201402","GUDANG STO SUMEDANG","GUDANG"
"OPEN","JUL","3213201502","GUDANG TANJUNGSARI","GUDANG"
"OPEN","JUL","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG"
"OPEN","JUL","3213202202","TELKOM CISANGGARUNG","UTILITY"
"OPEN","JUL","3213202302","GUDANG DHARMA WANITA","GUDANG"
"OPEN","JUL","3213202502","GUDANG WITEL BANDUNG","GUDANG"
"OPEN","JUL","3213202504","WITEL BANDUNG","UTILITY"
"OPEN","JUL","3213203703","GUDANG GT SEKAR","GUDANG"
"OPEN","JUL","3213204704","GT BENGAWAN 81","GUDANG"
"OPEN","JUL","3213205228","GUDANG GEDUNG POOL KBM","GUDANG"
"OPEN","JUL","3213205229","GUDANG GEDUNG AULA","GUDANG"
"OPEN","JUL","3223200202","EKS CATEL PANGALENGAN","UTILITY"
"OPEN","JUL","3223201702","GUDANG CIWIDEY","GUDANG"
"OPEN","JUL","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG"
"OPEN","JUL","3223202804","MESS PALAPA SOREANG","UTILITY"
"OPEN","JUL","3213200102","PLASA SUPRATMAN","OFFICE"
"OPEN","JUL","3213200104","GEDUNG KOSONG PLASA SUPRATMAN","IDLE"
"OPEN","JUL","3213200202","ARNET AHMAD YANI","OFFICE"
"OPEN","JUL","3213200401D","GMP BANDUNG","OFFICE"
"OPEN","JUL","3213200401E","GMP BANDUNG","RUANG IBADAH"
"OPEN","JUL","3213200404","GEDUNG KOSONG GMP BANDUNG","IDLE"
"OPEN","JUL","3213200701","PLASA SUMEDANG","OFFICE"
"OPEN","JUL","3213200703","GEDUNG KOSONG PLASA SUMEDANG","IDLE"
"OPEN","JUL","3213201001","PLASA / STO CIJAURA","OFFICE"
"OPEN","JUL","3213201002","GEDUNG KOSONG CIJAURA","IDLE"
"OPEN","JUL","3213201101","STO HEGARMANAH","OFFICE"
"OPEN","JUL","3213201201","PLASA / STO KOPO","OFFICE"
"OPEN","JUL","3213201202","GEDUNG KOSONG KOPO","IDLE"
"OPEN","JUL","3213201301","STO SADANG SERANG","OFFICE"
"OPEN","JUL","3213201401","STO SUMEDANG","OFFICE"
"OPEN","JUL","3213201501","STO TANJUNGSARI","OFFICE"
"OPEN","JUL","3213201601","STO TEGALEGA","OFFICE"
"OPEN","JUL","3213201602","GEDUNG KOSONG TEGALEGA","IDLE"
"OPEN","JUL","3213201701","STO TURANGGA","OFFICE"
"OPEN","JUL","3213201801","STO UJUNG BERUNG","OFFICE"
"OPEN","JUL","3213201802","PLASA UJUNG BERUNG","OFFICE"
"OPEN","JUL","3213201803","GEDUNG KOSONG PLASA UJUNG BERUNG","IDLE"
"OPEN","JUL","3213201804","GEDUNG KOSONGSTO UJUNG BERUNG","IDLE"
"OPEN","JUL","3213202301","TELKOM DHARMA WANITA","OFFICE"
"OPEN","JUL","3213202403","GT WAHIDIN","IDLE"
"OPEN","JUL","3213202503","GEDUNG KOSONG WITEL BANDUNG","IDLE"
"OPEN","JUL","3213204703","GT BENGAWAN 81","OFFICE"
"OPEN","JUL","3213205201","STO / PLASA GEGER KALONG","OFFICE"
"OPEN","JUL","3213205231","GEDUNG KOSONG STO GEGERKALONG","IDLE"
"OPEN","JUL","3223200101","WITEL BANDUNG BARAT","OFFICE"
"OPEN","JUL","3223200103","GEDUNG KOSONG WITEL BANDUNG BARAT","IDLE"
"OPEN","JUL","3223200201","EKS CATEL PANGALENGAN","OFFICE"
"OPEN","JUL","3223200301","PLASA / EKS CATEL PADALARANG","OFFICE"
"OPEN","JUL","3223200302","GEDUNG KOSONG PADALARANG","IDLE"
"OPEN","JUL","3223200601","PLASA BAROS","OFFICE"
"OPEN","JUL","3223200801","PLASA / STO BANJARAN","OFFICE"
"OPEN","JUL","3223200901","STO BATUJAJAR","OFFICE"
"OPEN","JUL","3223200902","GEDUNG KOSONG BATUJAJAR","IDLE"
"OPEN","JUL","3223201001","STO CICALENGKA","OFFICE"
"OPEN","JUL","3223201002","GEDUNG KOSONG CICALENGKA","IDLE"
"OPEN","JUL","3223201101","STO CIHALIWUNG","OFFICE"
"OPEN","JUL","3223201102","GEDUNG KOSONG CIHALIWUNG","IDLE"
"OPEN","JUL","3223201201","STO CIKALONG WETAN","OFFICE"
"OPEN","JUL","3223201301","STO CILILIN","OFFICE"
"OPEN","JUL","3223201302","GEDUNG KOSONG CILILIN","IDLE"
"OPEN","JUL","3223201401","STO CIMAHI","OFFICE"
"OPEN","JUL","3223201402","GEDUNG KOSONG STO CIMAHI","IDLE"
"OPEN","JUL","3223201501","STO CIPATAT","OFFICE"
"OPEN","JUL","3223201601","STO CISARUA","OFFICE"
"OPEN","JUL","3223201701","STO CIWIDEY","OFFICE"
"OPEN","JUL","3223201703","GEDUNG KOSONG CIWIDEY","IDLE"
"OPEN","JUL","3223201801","STO GUNUNG HALU","OFFICE"
"OPEN","JUL","3223201901","STO LEMBANG","OFFICE"
"OPEN","JUL","3223202001","STO MAJALAYA","OFFICE"
"OPEN","JUL","3223202002","GEDUNG KOSONG MAJALAYA","IDLE"
"OPEN","JUL","3223202101","STO NANJUNG","OFFICE"
"OPEN","JUL","3223202201","PLASA / STO RANCAEKEK","OFFICE"
"OPEN","JUL","3223202202","GEDUNG KOSONG RANCAEKEK","IDLE"
"OPEN","JUL","3223202301","PLASA / STO SOREANG","OFFICE"
"OPEN","JUL","3223202303","GEDUNG KOSONG SOREANG","IDLE"
"OPEN","JUL","3223202801","MESS PALAPA SOREANG","OFFICE"
"OPEN","JUL","3223202803","GEDUNG KOSONG PALAPA SOREANG","IDLE"
"OPEN","JUL","3213205201A","STO / PLASA GEGER KALONG","IDLE"
"OPEN","JUL","3223200301A","PLASA / EKS CATEL PADALARANG","IDLE"
"OPEN","JUL","3213200203","KANTOR CICADAS","OFFICE"
"OPEN","JUL","3213200204","STO CICADAS","POP ETC"
"OPEN","JUL","3213200301","DIVA KEBON WARU","OFFICE"
"OPEN","JUL","3213203702","GT SEKAR","OFFICE"
"OPEN","JUL","3213200901","RUMDIN WASTUKENCANA","OFFICE"
"OPEN","JUL","3213202501","PLASA / WITEL BANDUNG / STO LEMBONG","OFFICE"
