Status,Month,ID,Name,Type
"OPEN","SEP","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN"
"OPEN","SEP","3213201003","HALAMAN STO CIJAURA","HALAMAN"
"OPEN","SEP","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"OPEN","SEP","3213201203","HALAMAN STO KOPO","HALAMAN"
"OPEN","SEP","3213201603","HALAMAN STO TEGALEGA","HALAMAN"
"OPEN","SEP","3223201303","HALAMAN STO CILILIN","HALAMAN"
"OPEN","SEP","3223202304","HALAMAN STO SOREANG","HALAMAN"
"OPEN","SEP","3213200103","GUDANG PLASA SUPRATMAN","GUDANG"
"OPEN","SEP","3213200201","GUDANG ARNET AHMAD YANI","GUDANG"
"OPEN","SEP","3213200401F","GMP BANDUNG","SARANA OLAHRAGA"
"OPEN","SEP","3213200403","GUDANG GMP BANDUNG","GUDANG"
"OPEN","SEP","3213200405","GMP BANDUNG","UTILITY"
"OPEN","SEP","3213200702","GUDANG PLASA SUMEDANG","GUDANG"
"OPEN","SEP","3213200902","RUMDIN WASTUKENCANA","UTILITY"
"OPEN","SEP","3213201402","GUDANG STO SUMEDANG","GUDANG"
"OPEN","SEP","3213201502","GUDANG TANJUNGSARI","GUDANG"
"OPEN","SEP","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG"
"OPEN","SEP","3213202202","TELKOM CISANGGARUNG","UTILITY"
"OPEN","SEP","3213202302","GUDANG DHARMA WANITA","GUDANG"
"OPEN","SEP","3213202502","GUDANG WITEL BANDUNG","GUDANG"
"OPEN","SEP","3213202504","WITEL BANDUNG","UTILITY"
"OPEN","SEP","3213203703","GUDANG GT SEKAR","GUDANG"
"OPEN","SEP","3213204704","GT BENGAWAN 81","GUDANG"
"OPEN","SEP","3213205228","GUDANG GEDUNG POOL KBM","GUDANG"
"OPEN","SEP","3213205229","GUDANG GEDUNG AULA","GUDANG"
"OPEN","SEP","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG"
"OPEN","SEP","3223200202","EKS CATEL PANGALENGAN","UTILITY"
"OPEN","SEP","3223200303","EKS CATEL PADALARANG","UTILITY"
"OPEN","SEP","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"OPEN","SEP","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"OPEN","SEP","3223200602","GUDANG PLASA BAROS","GUDANG"
