Status,Month,ID,Name,Type
"SUBMITTED","JUL","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"SUBMITTED","JUL","3223201303","HALAMAN STO CILILIN","HALAMAN"
"SUBMITTED","JUL","3223202304","HALAMAN STO SOREANG","HALAMAN"
"SUBMITTED","JUL","3213200401F","GMP BANDUNG","SARANA OLAHRAGA"
"SUBMITTED","JUL","3213200403","GUDANG GMP BANDUNG","GUDANG"
"SUBMITTED","JUL","3213200405","GMP BANDUNG","UTILITY"
"SUBMITTED","JUL","3213202504","WITEL BANDUNG","UTILITY"
"SUBMITTED","JUL","3213205229","GUDANG GEDUNG AULA","GUDANG"
"SUBMITTED","JUL","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG"
"SUBMITTED","JUL","3223200303","EKS CATEL PADALARANG","UTILITY"
"SUBMITTED","JUL","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"SUBMITTED","JUL","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"SUBMITTED","JUL","3223200602","GUDANG PLASA BAROS","GUDANG"
"SUBMITTED","JUL","3223200603","PLASA BAROS","UTILITY"
"SUBMITTED","JUL","3223201403","GUDANG STO CIMAHI","GUDANG"
"SUBMITTED","JUL","3223201902","GUDANG LEMBANG","GUDANG"
"SUBMITTED","JUL","3223201903","STO LEMBANG","UTILITY"
"SUBMITTED","JUL","3223202003","GUDANG MAJALAYA","GUDANG"
"SUBMITTED","JUL","3223202302","GUDANG SOREANG","GUDANG"
"SUBMITTED","JUL","3223202602","STO BOJONGWARU","UTILITY"
"SUBMITTED","JUL","3223202603","GUDANG BOJONGWARU","GUDANG"
"SUBMITTED","JUL","3213200104","GEDUNG KOSONG PLASA SUPRATMAN","IDLE"
"SUBMITTED","JUL","3213200202","ARNET AHMAD YANI","OFFICE"
"SUBMITTED","JUL","3213200401D","GMP BANDUNG","OFFICE"
"SUBMITTED","JUL","3213200401E","GMP BANDUNG","RUANG IBADAH"
