Status,Month,ID,Name,Type
"SUBMITTED","SEP","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"SUBMITTED","SEP","3223202304","HALAMAN STO SOREANG","HALAMAN"
"SUBMITTED","SEP","3213200401F","GMP BANDUNG","SARANA OLAHRAGA"
"SUBMITTED","SEP","3213200403","GUDANG GMP BANDUNG","GUDANG"
"SUBMITTED","SEP","3213200405","GMP BANDUNG","UTILITY"
"SUBMITTED","SEP","3213200702","GUDANG PLASA SUMEDANG","GUDANG"
"SUBMITTED","SEP","3223200202","EKS CATEL PANGALENGAN","UTILITY"
"SUBMITTED","SEP","3223201702","GUDANG CIWIDEY","GUDANG"
"SUBMITTED","SEP","3223201902","GUDANG LEMBANG","GUDANG"
"SUBMITTED","SEP","3223201903","STO LEMBANG","UTILITY"
"SUBMITTED","SEP","3223202003","GUDANG MAJALAYA","GUDANG"
"SUBMITTED","SEP","3223202302","GUDANG SOREANG","GUDANG"
"SUBMITTED","SEP","3223202602","STO BOJONGWARU","UTILITY"
"SUBMITTED","SEP","3223202603","GUDANG BOJONGWARU","GUDANG"
"SUBMITTED","SEP","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG"
"SUBMITTED","SEP","3223202804","MESS PALAPA SOREANG","UTILITY"
"SUBMITTED","SEP","3213200401D","GMP BANDUNG","OFFICE"
"SUBMITTED","SEP","3213200401E","GMP BANDUNG","RUANG IBADAH"
"SUBMITTED","SEP","3213200404","GEDUNG KOSONG GMP BANDUNG","IDLE"
"SUBMITTED","SEP","3213200701","PLASA SUMEDANG","OFFICE"
"SUBMITTED","SEP","3213200703","GEDUNG KOSONG PLASA SUMEDANG","IDLE"
"SUBMITTED","SEP","3213201101","STO HEGARMANAH","OFFICE"
"SUBMITTED","SEP","3213201201","PLASA / STO KOPO","OFFICE"
"SUBMITTED","SEP","3213201301","STO SADANG SERANG","OFFICE"
"SUBMITTED","SEP","3213201801","STO UJUNG BERUNG","OFFICE"
"SUBMITTED","SEP","3213201802","PLASA UJUNG BERUNG","OFFICE"
"SUBMITTED","SEP","3213201803","GEDUNG KOSONG PLASA UJUNG BERUNG","IDLE"
"SUBMITTED","SEP","3213201804","GEDUNG KOSONGSTO UJUNG BERUNG","IDLE"
"SUBMITTED","SEP","3213202403","GT WAHIDIN","IDLE"
"SUBMITTED","SEP","3213205201","STO / PLASA GEGER KALONG","OFFICE"
"SUBMITTED","SEP","3213205231","GEDUNG KOSONG STO GEGERKALONG","IDLE"
"SUBMITTED","SEP","3223200201","EKS CATEL PANGALENGAN","OFFICE"
"SUBMITTED","SEP","3223200801","PLASA / STO BANJARAN","OFFICE"
"SUBMITTED","SEP","3223201001","STO CICALENGKA","OFFICE"
"SUBMITTED","SEP","3223201002","GEDUNG KOSONG CICALENGKA","IDLE"
"SUBMITTED","SEP","3223201701","STO CIWIDEY","OFFICE"
"SUBMITTED","SEP","3223201703","GEDUNG KOSONG CIWIDEY","IDLE"
"SUBMITTED","SEP","3223201901","STO LEMBANG","OFFICE"
"SUBMITTED","SEP","3223202001","STO MAJALAYA","OFFICE"
"SUBMITTED","SEP","3223202002","GEDUNG KOSONG MAJALAYA","IDLE"
"SUBMITTED","SEP","3223202201","PLASA / STO RANCAEKEK","OFFICE"
"SUBMITTED","SEP","3223202202","GEDUNG KOSONG RANCAEKEK","IDLE"
"SUBMITTED","SEP","3213205201A","STO / PLASA GEGER KALONG","IDLE"
"SUBMITTED","SEP","3213200401B","GMP BANDUNG","OFFICE"
"SUBMITTED","SEP","3213200401C","GMP BANDUNG","POP ETC"
"SUBMITTED","SEP","3213201901","TELKOM ACI GD. B","OFFICE"
"SUBMITTED","SEP","3213202001","TELKOM ACI GD. A","OFFICE"
"SUBMITTED","SEP","3213200401A","GMP BANDUNG","OFFICE"
"SUBMITTED","SEP","3213200401","GMP BANDUNG","OFFICE"
