Status,Month,ID,Name,Type
"APPROVED","JUL","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN"
"APPROVED","JUL","3213201003","HALAMAN STO CIJAURA","HALAMAN"
"APPROVED","JUL","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"APPROVED","JUL","3213201203","HALAMAN STO KOPO","HALAMAN"
"APPROVED","JUL","3213201603","HALAMAN STO TEGALEGA","HALAMAN"
"APPROVED","JUL","3223201303","HALAMAN STO CILILIN","HALAMAN"
"APPROVED","JUL","3223202304","HALAMAN STO SOREANG","HALAMAN"
"APPROVED","JUL","3213200103","GUDANG PLASA SUPRATMAN","GUDANG"
"APPROVED","JUL","3213200201","GUDANG ARNET AHMAD YANI","GUDANG"
"APPROVED","JUL","3213200401F","GMP BANDUNG","SARANA OLAHRAGA"
"APPROVED","JUL","3213200403","GUDANG GMP BANDUNG","GUDANG"
"APPROVED","JUL","3213200405","GMP BANDUNG","UTILITY"
"APPROVED","JUL","3213200702","GUDANG PLASA SUMEDANG","GUDANG"
"APPROVED","JUL","3213200902","RUMDIN WASTUKENCANA","UTILITY"
"APPROVED","JUL","3213201402","GUDANG STO SUMEDANG","GUDANG"
"APPROVED","JUL","3213201502","GUDANG TANJUNGSARI","GUDANG"
"APPROVED","JUL","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG"
"APPROVED","JUL","3213202202","TELKOM CISANGGARUNG","UTILITY"
"APPROVED","JUL","3213202302","GUDANG DHARMA WANITA","GUDANG"
"APPROVED","JUL","3213203703","GUDANG GT SEKAR","GUDANG"
"APPROVED","JUL","3213204704","GT BENGAWAN 81","GUDANG"
"APPROVED","JUL","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG"
"APPROVED","JUL","3223200202","EKS CATEL PANGALENGAN","UTILITY"
"APPROVED","JUL","3223200303","EKS CATEL PADALARANG","UTILITY"
"APPROVED","JUL","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"APPROVED","JUL","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG"
"APPROVED","JUL","3223200602","GUDANG PLASA BAROS","GUDANG"
"APPROVED","JUL","3223200603","PLASA BAROS","UTILITY"
"APPROVED","JUL","3223201403","GUDANG STO CIMAHI","GUDANG"
"APPROVED","JUL","3223201702","GUDANG CIWIDEY","GUDANG"
"APPROVED","JUL","3223201902","GUDANG LEMBANG","GUDANG"
"APPROVED","JUL","3223201903","STO LEMBANG","UTILITY"
"APPROVED","JUL","3223202003","GUDANG MAJALAYA","GUDANG"
"APPROVED","JUL","3223202302","GUDANG SOREANG","GUDANG"
"APPROVED","JUL","3223202602","STO BOJONGWARU","UTILITY"
"APPROVED","JUL","3223202603","GUDANG BOJONGWARU","GUDANG"
"APPROVED","JUL","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG"
"APPROVED","JUL","3223202804","MESS PALAPA SOREANG","UTILITY"
"APPROVED","JUL","3213200102","PLASA SUPRATMAN","OFFICE"
"APPROVED","JUL","3213202301","TELKOM DHARMA WANITA","OFFICE"
"APPROVED","JUL","3213204703","GT BENGAWAN 81","OFFICE"
"APPROVED","JUL","3213200203","KANTOR CICADAS","OFFICE"
"APPROVED","JUL","3213200204","STO CICADAS","POP ETC"
"APPROVED","JUL","3213200301","DIVA KEBON WARU","OFFICE"
"APPROVED","JUL","3213200401B","GMP BANDUNG","OFFICE"
"APPROVED","JUL","3213200401C","GMP BANDUNG","POP ETC"
"APPROVED","JUL","3213201901","TELKOM ACI GD. B","OFFICE"
"APPROVED","JUL","3213202001","TELKOM ACI GD. A","OFFICE"
"APPROVED","JUL","3213203702","GT SEKAR","OFFICE"
"APPROVED","JUL","3213200401A","GMP BANDUNG","OFFICE"
"APPROVED","JUL","3213200901","RUMDIN WASTUKENCANA","OFFICE"
"APPROVED","JUL","3213200401","GMP BANDUNG","OFFICE"
"SUBMITTED","AGU","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN"
"SUBMITTED","AGU","3213201003","HALAMAN STO CIJAURA","HALAMAN"
"OPEN","AGU","3213201102","HALAMAN STO HEGARMANAH","HALAMAN"
"SUBMITTED","AGU","3213201203","HALAMAN STO KOPO","HALAMAN"
"SUBMITTED","AGU","3213201603","HALAMAN STO TEGALEGA","HALAMAN"
"SUBMITTED","AGU","3223201303","HALAMAN STO CILILIN","HALAMAN"
"SUBMITTED","AGU","3223202304","HALAMAN STO SOREANG","HALAMAN"
"SUBMITTED","AGU","3213200103","GUDANG PLASA SUPRATMAN","GUDANG"
