Area,Month,ID,Name,Type,Period_1_20,Period_21_30
"PRIANGAN_TIMUR","JUL","3233200203","HALAMAN EKS CATEL HAURGEULIS","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200404","HALAMAN PLASA INDRAMAYU","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200703","HALAMAN STO BALONGAN","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200803","HALAMAN STO CIKIJING","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233201203","HALAMAN STO JATIWANGI","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233201304","HALAMAN STO KADIPATEN","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233201403","HALAMAN STO KANCI","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233201603","HALAMAN STO KARYA MULYA","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233201903","HALAMAN STO LOSARANG","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233202303","HALAMAN STO PATROL","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233202504","HALAMAN STO RAJAGALUH","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233202602","HALAMAN STO SINDANG LAUT","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263200305","HALAMAN DATEL SINGAPARNA","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263200405","HALAMAN EKS CATEL KAWALI","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263200505","HALAMAN EKS CATEL KEDUNGORA","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263201004","HALAMAN STO BANJAR","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263201104","HALAMAN STO BANJARSARI","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201203","HALAMAN STO CIAMIS","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201504","HALAMAN STO CIBATU","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263201604","HALAMAN STO CIKAJANG","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263201703","HALAMAN STO CISOMPET","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263202004","HALAMAN STO LIMBANGAN","HALAMAN","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3263202104","HALAMAN STO MALANGBONG","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263202203","HALAMAN STO MANONJAYA","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263202304","HALAMAN STO PAMENGPEUK","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3263202404","HALAMAN STO PANGANDARAN","HALAMAN","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200102","GUDANG WITEL CIREBON","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200104","WITEL CIREBON","UTILITY","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200202","EKS CATEL HAURGEULIS","UTILITY","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200301","GUDANG YOS SODARSO","OFFICE","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200302","GUDANG YOS SUDARSO","GUDANG","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200303","GUDANG YOS SODARSO","UTILITY","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200403","PLASA INDRAMAYU","UTILITY","APPROVED","APPROVED"
"PRIANGAN_TIMUR","JUL","3233200501","GUDANG PLASA SILIWANGI","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200503","PLASA SILIWANGI","UTILITY","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200602","GUDANG ARJAWINANGUN","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200702","GUDANG BALONGAN","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200802","GUDANG CIKIJING","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233200902","GUDANG INDRAMAYU","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233201002","GUDANG JAMBLANG","GUDANG","APPROVED","NOT APPROVED"
"PRIANGAN_TIMUR","JUL","3233201102","GUDANG JATIBARANG","GUDANG","APPROVED","NOT APPROVED"
